Energy[MeV/u],Depth[mm],Sigma_fit[mm],Sigma[mm]
192.94,150.0,3.486465990228141,3.486465990228141
192.94,300.0,2.8643377715089904,2.8643377715089904
195.66,-300.0,5.221205767339219,5.221205767339219
195.66,-150.0,4.613940680125305,4.613940680125305
195.66,0.0,3.993935765906902,3.993935765906902
195.66,150.0,3.443999900213182,3.443999900213182
195.66,300.0,2.8388581175000147,2.8388581175000147
198.36,-300.0,5.19997272233174,5.19997272233174
198.36,-150.0,4.575721199111841,4.575721199111841
198.36,0.0,3.9429764578889515,3.9429764578889515
198.36,150.0,3.3739308516885,3.3739308516885
198.36,300.0,2.8070085499887956,2.8070085499887956
201.03,-300.0,5.049218102778635,5.049218102778635
201.03,-150.0,4.488665714581176,4.488665714581176
201.03,0.0,3.883523931868009,3.883523931868009
201.03,150.0,3.3675609381862555,3.3675609381862555
201.03,300.0,2.779405591479072,2.779405591479072
203.67,-300.0,5.123533760304814,5.123533760304814
203.67,-150.0,4.554488154104362,4.554488154104362
203.67,0.0,3.940853153388203,3.940853153388203
203.67,150.0,3.45673972721767,3.45673972721767
203.67,300.0,2.881324207514974,2.881324207514974
206.28,-300.0,5.136273587309301,5.136273587309301
206.28,-150.0,4.575721199111841,4.575721199111841
206.28,0.0,3.9790726344016663,3.9790726344016663
206.28,150.0,3.4631096407199133,3.4631096407199133
206.28,300.0,2.921666993029185,2.921666993029185
208.87,-300.0,5.091684192793595,5.091684192793595
208.87,-150.0,4.550241545102867,4.550241545102867
208.87,0.0,3.9344832398859593,3.9344832398859593
208.87,150.0,3.422766855205703,3.422766855205703
208.87,300.0,2.8749542940127304,2.8749542940127304
211.44,-300.0,5.032231666772652,5.032231666772652
211.44,-150.0,4.518391977591646,4.518391977591646
211.44,0.0,3.8814006273672605,3.8814006273672605
211.44,150.0,3.3654376336855076,3.3654376336855076
211.44,300.0,2.823994985994779,2.823994985994779
213.98,-300.0,4.9897655767576925,4.9897655767576925
213.98,-150.0,4.427089884059484,4.427089884059484
213.98,0.0,3.862290886860529,3.862290886860529
213.98,150.0,3.3187249346690524,3.3187249346690524
213.98,300.0,2.785775504981316,2.785775504981316
216.5,-300.0,4.853874088709824,4.853874088709824
216.5,-150.0,4.344281008530315,4.344281008530315
216.5,0.0,3.781605315832106,3.781605315832106
216.5,150.0,3.2741355401533454,3.2741355401533454
216.5,300.0,2.753925937470097,2.753925937470097
219.0,-300.0,4.715859296161207,4.715859296161207
219.0,-150.0,4.235992478992168,4.235992478992168
219.0,0.0,3.7922218383358466,3.7922218383358466
219.0,150.0,3.395163896695979,3.395163896695979
219.0,300.0,2.974749605547884,2.974749605547884
221.48,-300.0,4.675516510646995,4.675516510646995
221.48,-150.0,4.191403084476462,4.191403084476462
221.48,0.0,3.745509139319392,3.745509139319392
221.48,150.0,3.346327893178776,3.346327893178776
221.48,300.0,2.9938593460546157,2.9938593460546157
223.94,-300.0,4.577844503612589,4.577844503612589
223.94,-150.0,4.119210731451032,4.119210731451032
223.94,0.0,3.6372206097812456,3.6372206097812456
223.94,150.0,3.257149104147362,3.257149104147362
223.94,300.0,2.921666993029185,2.921666993029185
226.37,-300.0,4.539625022599125,4.539625022599125
226.37,-150.0,4.08948446844056,4.08948446844056
226.37,0.0,3.603247737769278,3.603247737769278
226.37,150.0,3.216806318633151,3.216806318633151
226.37,300.0,2.8515979445045025,2.8515979445045025
228.79,-300.0,4.675516510646995,4.675516510646995
228.79,-150.0,4.1638001259667385,4.1638001259667385
228.79,0.0,3.5968778242670343,3.5968778242670343
228.79,150.0,3.140367356606224,3.140367356606224
228.79,300.0,2.6286509719259676,2.6286509719259676
231.19,-300.0,4.520515282092394,4.520515282092394
231.19,-150.0,4.019415419915878,4.019415419915878
