BeamNumber,BeamName,LayerIndex,ControlPointIndex,Energy_MeVu,SpotIndex,X_mm,Y_mm,MetersetWeight_MU,RelativeWeight,PlanRelativeWeight,NumberOfPaintings,WeightPerPainting_MU,FWHM_X_mm,FWHM_Y_mm,LowStatisticsAnchor,OriginalSpotIndex,OriginalSpotMetersetWeight_MU
1,1,35,68,223.94,4,-2.5999999046325684,-56.0,3860.0238372802733,0.0031440487574455186,0.0031440487574455186,1,3860.0238372802733,9.061599731445312,9.061599731445312,y_min,471,13.096099853515623
1,1,35,68,223.94,5,-40.70000076293945,56.0,3860.0238372802733,0.0031440487574455186,0.0031440487574455186,1,3860.0238372802733,9.061599731445312,9.061599731445312,y_max,158,22.521799087524418
1,1,36,70,226.37,1,-0.8999999761581421,3.0,4015.115899658203,0.0032703736265563173,0.0032703736265563173,1,4015.115899658203,9.061599731445312,9.061599731445312,center,505,21.45009994506836
1,1,36,70,226.37,2,-56.29999923706055,1.0,4015.115899658203,0.0032703736265563173,0.0032703736265563173,1,4015.115899658203,9.061599731445312,9.061599731445312,x_min,7,14.68970012664795
1,1,36,70,226.37,3,56.29999923706055,0.0,4015.115899658203,0.0032703736265563173,0.0032703736265563173,1,4015.115899658203,9.061599731445312,9.061599731445312,x_max,1002,25.607900619506836
1,1,36,70,226.37,4,51.099998474121094,-57.0,4015.115899658203,0.0032703736265563173,0.0032703736265563173,1,4015.115899658203,9.061599731445312,9.061599731445312,y_min,957,20.42840003967285
1,1,36,70,226.37,5,-40.70000076293945,56.0,4015.115899658203,0.0032703736265563173,0.0032703736265563173,1,4015.115899658203,9.061599731445312,9.061599731445312,y_max,163,23.725500106811523
1,1,37,72,228.79,1,0.8999999761581421,2.0,4145.644741821289,0.003376691375180069,0.003376691375180069,1,4145.644741821289,8.965250015258789,8.965250015258789,center,543,22.215599060058594
1,1,37,72,228.79,2,-56.29999923706055,5.0,4145.644741821289,0.003376691375180069,0.003376691375180069,1,4145.644741821289,8.965250015258789,8.965250015258789,x_min,7,14.486499786376951
1,1,37,72,228.79,3,56.29999923706055,-4.0,4145.644741821289,0.003376691375180069,0.003376691375180069,1,4145.644741821289,8.965250015258789,8.965250015258789,x_max,1041,13.09689998626709
1,1,37,72,228.79,4,4.300000190734863,-56.0,4145.644741821289,0.003376691375180069,0.003376691375180069,1,4145.644741821289,8.965250015258789,8.965250015258789,y_min,565,13.464300155639648
1,1,37,72,228.79,5,-0.8999999761581421,55.0,4145.644741821289,0.003376691375180069,0.003376691375180069,1,4145.644741821289,8.965250015258789,8.965250015258789,y_max,520,22.451900482177734
1,1,38,74,231.19,1,-0.8999999761581421,-3.0,4423.519260978699,0.0036030244429308086,0.0036030244429308086,1,4423.519260978699,8.87125015258789,8.87125015258789,center,545,23.75079917907715
1,1,38,74,231.19,2,-56.29999923706055,3.0,4423.519260978699,0.0036030244429308086,0.0036030244429308086,1,4423.519260978699,8.87125015258789,8.87125015258789,x_min,7,20.50160026550293
1,1,38,74,231.19,3,56.29999923706055,0.0,4423.519260978699,0.0036030244429308086,0.0036030244429308086,1,4423.519260978699,8.87125015258789,8.87125015258789,x_max,1082,20.521699905395508
1,1,38,74,231.19,4,4.300000190734863,-56.0,4423.519260978699,0.0036030244429308086,0.0036030244429308086,1,4423.519260978699,8.87125015258789,8.87125015258789,y_min,582,13.71269989013672
1,1,38,74,231.19,5,-51.099998474121094,56.0,4423.519260978699,0.0036030244429308086,0.0036030244429308086,1,4423.519260978699,8.87125015258789,8.87125015258789,y_max,85,13.568599700927734
1,1,39,76,233.58,1,-0.8999999761581421,-3.0,4621.110383224487,0.0037639654496622204,0.0037639654496622204,1,4621.110383224487,8.779600143432617,8.779600143432617,center,549,24.79179954528809
1,1,39,76,233.58,2,-56.29999923706055,3.0,4621.110383224487,0.0037639654496622204,0.0037639654496622204,1,4621.110383224487,8.779600143432617,8.779600143432617,x_min,7,20.571699142456055
1,1,39,76,233.58,3,56.29999923706055,-4.0,4621.110383224487,0.0037639654496622204,0.0037639654496622204,1,4621.110383224487,8.779600143432617,8.779600143432617,x_max,1104,20.767499923706055
1,1,39,76,233.58,4,-4.300000190734863,-57.0,4621.110383224487,0.0037639654496622204,0.0037639654496622204,1,4621.110383224487,8.779600143432617,8.779600143432617,y_min,525,20.58169937133789
1,1,39,76,233.58,5,-47.599998474121094,56.0,4621.110383224487,0.0037639654496622204,0.0037639654496622204,1,4621.110383224487,8.779600143432617,8.779600143432617,y_max,110,23.5935001373291
1,1,40,78,235.94,1,-0.8999999761581421,-3.0,4855.728021049499,0.003955065122559129,0.003955065122559129,1,4855.728021049499,8.692649841308594,8.692649841308594,center,592,25.80870056152344
1,1,40,78,235.94,2,-56.29999923706055,3.0,4855.728021049499,0.003955065122559129,0.003955065122559129,1,4855.728021049499,8.692649841308594,8.692649841308594,x_min,7,20.853099822998047
1,1,40,78,235.94,3,56.29999923706055,-2.0,4855.728021049499,0.003955065122559129,0.003955065122559129,1,4855.728021049499,8.692649841308594,8.692649841308594,x_max,1179,21.130599975585938
1,1,40,78,235.94,4,-4.300000190734863,-57.0,4855.728021049499,0.003955065122559129,0.003955065122559129,1,4855.728021049499,8.692649841308594,8.692649841308594,y_min,567,20.749500274658203
1,1,40,78,235.94,5,0.8999999761581421,56.0,4855.728021049499,0.003955065122559129,0.003955065122559129,1,4855.728021049499,8.692649841308594,8.692649841308594,y_max,616,13.466699600219728
1,1,41,80,238.29,1,-0.8999999761581421,-1.0,5082.837421035767,0.004140049220308673,0.004140049220308673,1,5082.837421035767,8.60569953918457,8.60569953918457,center,693,13.31820011138916
1,1,41,80,238.29,2,-56.29999923706055,3.0,5082.837421035767,0.004140049220308673,0.004140049220308673,1,5082.837421035767,8.60569953918457,8.60569953918457,x_min,7,21.724000930786133
1,1,41,80,238.29,3,56.29999923706055,-2.0,5082.837421035767,0.004140049220308673,0.004140049220308673,1,5082.837421035767,8.60569953918457,8.60569953918457,x_max,1399,21.86549949645996
1,1,41,80,238.29,4,-0.8999999761581421,-57.0,5082.837421035767,0.004140049220308673,0.004140049220308673,1,5082.837421035767,8.60569953918457,8.60569953918457,y_min,703,20.548999786376953
1,1,41,80,238.29,5,-2.5999999046325684,56.0,5082.837421035767,0.004140049220308673,0.004140049220308673,1,5082.837421035767,8.60569953918457,8.60569953918457,y_max,682,13.578900337219238
1,1,42,82,240.63,1,-0.8999999761581421,1.0,5423.09026222229,0.004417190390323712,0.004417190390323712,1,5423.09026222229,8.60569953918457,8.60569953918457,center,789,14.501999855041504
1,1,42,82,240.63,2,-56.29999923706055,3.0,5423.09026222229,0.004417190390323712,0.004417190390323712,1,5423.09026222229,8.60569953918457,8.60569953918457,x_min,7,22.800500869750977
1,1,42,82,240.63,3,56.29999923706055,-2.0,5423.09026222229,0.004417190390323712,0.004417190390323712,1,5423.09026222229,8.60569953918457,8.60569953918457,x_max,1601,23.413799285888672
1,1,42,82,240.63,4,2.5999999046325684,-57.0,5423.09026222229,0.004417190390323712,0.004417190390323712,1,5423.09026222229,8.60569953918457,8.60569953918457,y_min,853,21.802799224853516
1,1,42,82,240.63,5,-32.0,57.0,5423.09026222229,0.004417190390323712,0.004417190390323712,1,5423.09026222229,8.60569953918457,8.60569953918457,y_max,317,21.06049919128418
1,1,43,84,242.95,1,0.8999999761581421,0.0,5627.174815368652,0.004583420396350241,0.004583420396350241,1,5627.174815368652,8.523449897766113,8.523449897766113,center,852,14.515299797058104
